id,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,target
12251,38.76346335225095,4.372529763629353,2.8885158115393637,12.352538964275357,18.90655019631962,9.605924100002433,3.4565958253646696,3.9594774266834403,4.738227437812565,3.6925090232852877,11.192263260186655,9.076241727642369,4.692962245340246,2
4529,32.192180931179905,3.158109458230235,2.134617049644125,16.19352960171219,26.78687776928048,9.347958380412397,5.093277341444084,6.893790436074308,3.3998401268308567,2.0808533699187066,19.486692082426995,12.349952399738918,3.217670021258772,0
11284,28.370782307229923,3.006067067890789,1.969279816299001,15.163949508788015,28.515109230347253,7.946870446041611,5.609812519353592,6.511193633100945,3.256799350318316,2.2909926081317438,18.405204886029345,14.781328528330292,3.231217003398566,0
10993,38.215408897426755,2.1742320356655975,2.93510436834211,11.501866576718436,18.419570899743785,7.954005073892964,4.229832124519244,4.522059988705832,4.869233658973969,3.383513574038017,12.782516584352985,17.343742205527015,5.009182016195151,2
12927,38.90454472425465,2.956164189698425,2.2531493839806855,12.282551762644776,25.547886979308053,8.168775699392624,3.6530256161895562,6.809110482825904,4.971129501791823,2.1273633792267925,19.24732707854306,20.115183355024648,3.560524133461748,3
4294,27.810937124198727,4.123921370532442,2.0830456414194134,18.815007373517076,27.325941647284413,12.916586566475967,2.6018014610418425,5.863140357409926,5.316450326626707,2.646932387598889,16.573351313818012,7.8103918790706786,3.7793703194717674,0
10851,27.28646352745365,2.748064290663864,1.8931797880373467,12.454250310477004,29.31056504129173,4.890209854418867,6.788740878965764,6.570432230759922,2.6497420718434754,2.258456126676271,18.572654755978196,18.8864632964778,3.131443394387648,0
4419,31.187220264757674,3.5561718585106674,2.6982316298248974,12.879182891833466,20.89554627862274,7.3699950209784895,5.092998007967377,5.166718175966159,3.823875721017673,3.029438528648487,14.604773252879042,11.369616459508403,4.401354318101629,0
14190,39.75413395440694,2.9879403127469346,2.428753860614489,11.418878313802878,23.712334423585702,6.053807958728781,4.971069825540946,5.280699689839737,4.32553930519481,2.9668347946140714,14.926965040479725,14.72420149210119,4.511101685114663,0
1076,27.757447227368257,2.7882255820948156,1.0333427930372214,14.113589592198931,38.298240207274894,5.985741900311399,6.338944255420186,4.467077482053788,3.250708197879696,3.4137124203773266,12.627097415902238,17.34328093979877,3.2928787100239325,0
4254,37.20946654740244,3.2815888328099914,2.426577622481353,12.45152395730318,23.735082132207438,7.401588600813859,5.8818808492793,8.446155413210672,2.312842630131649,1.2282252476007447,23.874765463756287,18.764230143361328,2.231077129407457,0
1173,44.98040213355205,2.868460318176588,3.0243688255533607,11.505715150063931,17.48651038949858,7.761919261364482,4.998452715605074,4.8970295443483245,3.754450978082732,3.1775635604377195,13.842443824504294,12.432335588912082,4.637268650993705,4
11794,23.31064280314166,2.482162096958062,2.4494075811330087,12.146749853522874,23.496445909752417,5.750835143538348,4.946963862794215,7.241803808618135,4.517294338334357,1.8897088950407992,20.4704222225022,21.649831212050984,3.905982666648729,0
5913,45.15623069692536,2.834722610581359,1.6547393713428387,16.598296158725937,31.802926993793665,10.693380311754195,4.640038940033603,6.3677934971845,3.5412991037185226,2.3697543622471477,17.999855416953633,13.097365952905848,2.86262399785866,3
